block,component,device,latency_ms,order_position,training_seed,variant
32,end_to_end_policy,cpu,0.732823,3,42,Historical KD+PPO Local
32,end_to_end_policy,cpu,0.749812,4,42,Historical PPO-only Local (No KD)
32,end_to_end_policy,cpu,2.281247,5,42,Privileged Global Teacher
32,end_to_end_policy,cpu,0.893671,6,42,FastSwitchGLOBE
32,end_to_end_policy,cpu,1.075337,7,42,Geo-Residual Student
33,end_to_end_policy,cpu,0.493667,0,42,Predictive Prior Only
33,end_to_end_policy,cpu,2.246237,1,42,SwitchGLOBE Exact
33,end_to_end_policy,cpu,2.565307,2,42,Privileged Global Teacher
33,end_to_end_policy,cpu,1.756364,3,42,Predictive Student (No Switch)
33,end_to_end_policy,cpu,0.954267,4,42,FastSwitchGLOBE
33,end_to_end_policy,cpu,0.872799,5,42,Historical PPO-only Local (No KD)
33,end_to_end_policy,cpu,1.262187,6,42,Geo-Residual Student
33,end_to_end_policy,cpu,0.844593,7,42,Historical KD+PPO Local
34,end_to_end_policy,cpu,0.603707,0,42,Predictive Prior Only
34,end_to_end_policy,cpu,0.875874,1,42,Historical PPO-only Local (No KD)
34,end_to_end_policy,cpu,2.615704,2,42,Privileged Global Teacher
34,end_to_end_policy,cpu,2.547107,3,42,SwitchGLOBE Exact
34,end_to_end_policy,cpu,0.864613,4,42,Historical KD+PPO Local
34,end_to_end_policy,cpu,0.996533,5,42,FastSwitchGLOBE
34,end_to_end_policy,cpu,1.622693,6,42,Predictive Student (No Switch)
34,end_to_end_policy,cpu,1.028219,7,42,Geo-Residual Student
35,end_to_end_policy,cpu,2.252703,0,42,SwitchGLOBE Exact
35,end_to_end_policy,cpu,1.599124,1,42,Predictive Student (No Switch)
35,end_to_end_policy,cpu,1.025338,2,42,Geo-Residual Student
35,end_to_end_policy,cpu,2.350142,3,42,Privileged Global Teacher
35,end_to_end_policy,cpu,0.590085,4,42,Predictive Prior Only
35,end_to_end_policy,cpu,0.844471,5,42,FastSwitchGLOBE
35,end_to_end_policy,cpu,0.773794,6,42,Historical PPO-only Local (No KD)
