decision_steps,gate_margin,mean_outcome_divergence_rate_across_seeds,mean_skip_rate_across_seeds,outcome_divergence_rate_of_all_steps,outcome_divergence_rate_of_skipped,scope,seed_count,skip_rate
2342.0,1.0000,0.006404789240610137,1.0,0.0064047822374039285,0.0064047822374039285,heldout_medium,5,1.0
2322.0,1.0000,0.030972843975342407,1.0,0.031007751937984496,0.031007751937984496,ood_extreme_mobility,5,1.0
2316.0,1.0000,0.017243783031356413,1.0,0.017271157167530225,0.017271157167530225,ood_fast_mobility,5,1.0
2454.0,1.0000,0.01426329311715745,1.0,0.01426242868785656,0.01426242868785656,ood_link_loss,5,1.0
2537.0,1.0000,0.010217927967006971,1.0,0.010248324793062672,0.010248324793062672,ood_link_loss_30,5,1.0
2599.0,1.0000,0.00961686675559508,1.0,0.009619084263178146,0.009619084263178146,ood_nodes_10,5,1.0
2946.0,1.0000,0.013914027971437528,1.0,0.013917175831636116,0.013917175831636116,ood_nodes_16,5,1.0
3688.0,1.0000,0.031167851095170025,1.0,0.031182212581344904,0.031182212581344904,ood_nodes_24,5,1.0
2234.0,1.0000,0.004921700223713647,1.0,0.004923903312444047,0.004923903312444047,ood_sparse,5,1.0
4565.0,1.0000,0.14501642935377873,1.0,0.14501642935377876,0.14501642935377876,predictive_break_225_link_loss,5,1.0
6000.0,1.0000,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,predictive_break_45,5,1.0
3355.0,1.0000,0.0,1.0,0.0,0.0,structural_hole_225_link_loss,5,1.0
4000.0,1.0000,0.0,1.0,0.0,0.0,structural_hole_45,5,1.0
2109.0,1.0000,0.026629538194870073,1.0,0.026552868658131817,0.026552868658131817,unconditional_sparse,5,1.0
