block,component,device,latency_ms,order_position,training_seed,variant
35,end_to_end_policy,cpu,0.446904,5,2718,Fixed Manual Prior
35,end_to_end_policy,cpu,0.470757,6,2718,Shortest-Oracle Only
36,end_to_end_policy,cpu,0.45738,0,2718,Teacher+Shortest+Risk
36,end_to_end_policy,cpu,0.521172,1,2718,Fixed Manual Prior
36,end_to_end_policy,cpu,0.456478,2,2718,Existing Phase11 Predictive Prior
36,end_to_end_policy,cpu,0.47248,3,2718,Risk-Oracle Only
36,end_to_end_policy,cpu,0.44019,4,2718,Shortest-Oracle Only
36,end_to_end_policy,cpu,0.509015,5,2718,Teacher Distillation Only
36,end_to_end_policy,cpu,0.454026,6,2718,Shortest+Risk (No Teacher)
37,end_to_end_policy,cpu,0.490731,0,2718,Teacher+Shortest+Risk
37,end_to_end_policy,cpu,0.540738,1,2718,Shortest+Risk (No Teacher)
37,end_to_end_policy,cpu,0.489672,2,2718,Fixed Manual Prior
37,end_to_end_policy,cpu,0.440342,3,2718,Teacher Distillation Only
37,end_to_end_policy,cpu,0.471318,4,2718,Shortest-Oracle Only
37,end_to_end_policy,cpu,0.4408,5,2718,Existing Phase11 Predictive Prior
37,end_to_end_policy,cpu,0.478083,6,2718,Risk-Oracle Only
38,end_to_end_policy,cpu,0.454251,0,2718,Shortest-Oracle Only
38,end_to_end_policy,cpu,0.481543,1,2718,Fixed Manual Prior
38,end_to_end_policy,cpu,0.441979,2,2718,Risk-Oracle Only
38,end_to_end_policy,cpu,0.46638,3,2718,Existing Phase11 Predictive Prior
38,end_to_end_policy,cpu,0.440047,4,2718,Teacher Distillation Only
38,end_to_end_policy,cpu,0.446749,5,2718,Teacher+Shortest+Risk
38,end_to_end_policy,cpu,0.464917,6,2718,Shortest+Risk (No Teacher)
39,end_to_end_policy,cpu,0.474855,0,2718,Teacher+Shortest+Risk
39,end_to_end_policy,cpu,0.509298,1,2718,Fixed Manual Prior
39,end_to_end_policy,cpu,0.464664,2,2718,Teacher Distillation Only
